O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
6600001,1396909,O,63910.94,2/23/1996,3-MEDIUM,Clerk#000005414,0,rthogs. blithely regular asymptotes haggl
6600002,1326559,O,268387.64,4/2/1996,1-URGENT,Clerk#000009065,0, asymptotes about the fluffily ironic theodolites use blithely about 
6600003,970123,F,265803.29,3/19/1995,3-MEDIUM,Clerk#000006818,0,instructions haggle
6600004,1338028,F,86891.89,7/26/1992,4-NOT SPECIFIED,Clerk#000005237,0,nic accounts. regular pinto bean
6600005,221177,O,37138.52,3/29/1998,1-URGENT,Clerk#000007666,0,yly pending braids wake. blithely unusual requests are blithely accounts. cour
6600006,309524,F,128861.77,9/13/1993,3-MEDIUM,Clerk#000002181,0, among the packages. furiously final theodolites hang. final requests aff
6600007,161194,O,110597.90,2/27/1998,2-HIGH,Clerk#000000549,0,"lites. instructions detect slyly. ironic, express accounts wak"
6600032,181039,F,16427.13,2/4/1993,1-URGENT,Clerk#000007604,0,ffily. requests among
6600033,717050,F,97745.57,8/18/1993,3-MEDIUM,Clerk#000003685,0," pains. even, bold packages should ha"
6600034,452071,F,101599.03,1/31/1993,4-NOT SPECIFIED,Clerk#000002834,0,uickly ironic instructions. slyly final ideas hang carefully pending
6600035,454607,F,11796.30,9/20/1992,1-URGENT,Clerk#000009308,0,ously slyly even requests: slyly bold accounts sleep blithely unusual pinto be
6600036,1070233,F,125803.45,3/6/1993,4-NOT SPECIFIED,Clerk#000000832,0,", regular requests integrate carefully. carefully final"
6600037,886967,F,35792.72,1/3/1995,4-NOT SPECIFIED,Clerk#000001172,0,carefully express accounts. even requests along the furiously r
6600038,239629,F,167848.74,9/16/1992,1-URGENT,Clerk#000001041,0,furiously express accounts nag foxes. thinly final platelets sublate quickly a
6600039,1437745,F,26220.86,9/17/1994,4-NOT SPECIFIED,Clerk#000001792,0,equests. regular deposits sleep carefully am
6600064,669880,F,195951.79,6/18/1992,2-HIGH,Clerk#000008836,0,onic ideas. fluffily slow deposi
6600065,1170488,O,277369.65,1/20/1998,4-NOT SPECIFIED,Clerk#000007081,0,ts. packages are blithely dogged platelets; 
6600066,1386232,F,143857.07,7/26/1993,5-LOW,Clerk#000004860,0,"s the pending, unusual acco"
6600067,398020,F,74240.03,4/25/1994,4-NOT SPECIFIED,Clerk#000003355,0,leep carefully quickly special so
6600068,1013872,O,152128.34,5/11/1998,3-MEDIUM,Clerk#000006974,0,etimes final decoys cajole against the daring warhorses. dugou
6600069,113770,F,61034.47,6/10/1994,2-HIGH,Clerk#000002560,0,accounts integrate doggedly about the reque
6600070,1123231,O,84941.29,7/22/1995,3-MEDIUM,Clerk#000004668,0,eans thrash according to the final deposits. fi
6600071,611225,O,120944.30,8/13/1996,5-LOW,Clerk#000001577,0,mise carefully about the fluffily ironic gifts. slyly regular accounts maint
6600096,854681,F,307024.28,1/21/1993,2-HIGH,Clerk#000002773,0,hely unusual braids. regular foxes sleep.
